evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized
SHADE,degl,interm,low,high,low,0.7113816,0.7673686,0.77375,0.71625,0.7585556,0.4610002,0.4302,0.4356
L-SHADE,rand/1,bin,low,high,low,0.7203946,0.7846711999999999,0.71625,0.7125,0.7666668000000001,0.5813334,0.5555399999999999,0.7716
L-SHADE,rand/1,interm,low,high,low,0.7208551999999999,0.7867764,0.7375,0.73875,0.7668888,0.6672222,0.86266,0.87574
L-SHADE,curr_p_best,bin,low,high,low,0.7188158,0.7838158000000001,0.735,0.73375,0.9211112,0.736111,0.82214,0.82068
L-SHADE,curr_p_best,interm,low,high,low,0.7223026,0.784342,0.7425,0.73875,0.91,0.7704441999999999,0.8463,0.8391200000000001
L-SHADE,degl,bin,low,high,low,0.7256578,0.7823682,0.78625,0.7525,0.9202222,0.7775558000000001,0.73546,0.7782399999999999
L-SHADE,degl,interm,low,high,low,0.7126314,0.7440788,0.75375,0.71125,0.7688888,0.4723334,0.46682,0.39248
JDE,rand/1,bin,low,mid,high,0.7119736,0.7838814000000001,0.73625,0.69875,0.7775556,0.5886666,0.7104199999999999,0.7148399999999999
JDE,rand/1,interm,low,mid,high,0.7161841999999999,0.7816448,0.725,0.7575,0.8875556,0.708889,0.85582,0.8770600000000001
JDE,curr_p_best,bin,low,mid,high,0.7149998000000001,0.7844738,0.735,0.74625,0.9256666,0.7490000000000001,0.85872,0.8468399999999999
JDE,curr_p_best,interm,low,mid,high,0.716842,0.7844078,0.74375,0.74875,0.9246666,0.7582222,0.8539399999999999,0.81412
JDE,degl,bin,low,mid,high,0.7175,0.7832238,0.77,0.76375,0.8951111999999999,0.771889,0.7663800000000001,0.7417600000000001
JDE,degl,interm,low,mid,high,0.72125,0.7826314,0.74875,0.76625,0.8948888,0.7717778000000001,0.7016399999999999,0.71514
JADE,rand/1,bin,low,mid,high,0.716842,0.7843418000000001,0.7225,0.755,0.7994446,0.5677776,0.46414,0.49728
JADE,rand/1,interm,low,mid,high,0.7200658000000001,0.7846711999999999,0.74875,0.755,0.8176666,0.6882224,0.8692200000000001,0.8714200000000001
